#Summary: Table of analog control registers
----
==Table of analog control registers==
|| *PIC* || *ANSEL*  || *ANSELH* || *ANSEL0* || *ANSEL1* || *ANSELA* || *ANSELB* || *ANSELC* || *ANSELD* || *ANSELE* || *ADCON*  || *ADCON0* || *ADCON1* || *ADCON2* || *ADCON3* || *CMCON*  || *CMCON1* || *CMCON2* ||
|| 18F25J10   ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F25J11   ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || - || - || - || - || - ||
|| 18F25J50   ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || - || - || - || - || - ||
|| 18F25K20   ||ANSEL || ANSELH || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || - || - || - ||
|| 18F2610    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F2620    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F2680    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || - || - || - ||
|| 18F2682    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || - || - || - ||
|| 18F2685    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || - || - || - ||
|| 18F26J11   ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || - || - || - || - || - ||
|| 18F26J50   ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || - || - || - || - || - ||
|| 18F26K20   ||ANSEL || ANSELH || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || - || - || - ||
|| 18F4220    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F4221    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F4320    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F4321    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F4331    ||- || - || ANSEL0 || ANSEL1 || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || ADCON3 || - || - || - ||
|| 18F4410    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F442     ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || - || - || - || - || - ||
|| 18F4420    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
